sample_index,text,gold_label,model_label,judge_prompt,judge_label
1824,"i just watched this short at the planetout movies . starcrossed was a very sweet , sad , little movie about two brothers that are in love . there is some great , subtle acting from both the male leads . often times movies with this subject matter seem to get too caught up in the controversy and shock value of the plot that they forget that there is an actual story . luckily writer director james burkhammer does not do this , and instead lets the story play out with honesty . the sequences of the two boys first falling in love are very sweet .",positive,positive,"You are a strict sentiment annotator.

Read the following movie review and then answer with a single word:
either ""positive"" or ""negative"".

Review:
i just watched this short at the planetout movies . starcrossed was a very sweet , sad , little movie about two brothers that are in love . there is some great , subtle acting from both the male leads . often times movies with this subject matter seem to get too caught up in the controversy and shock value of the plot that they forget that there is an actual story . luckily writer director james burkhammer does not do this , and instead lets the story play out with honesty . the sequences of the two boys first falling in love are very sweet .

What is the correct overall sentiment of this review? Answer with only one word: positive or negative.",positive
409,"i seem to remember a lot of hype about this movie when it came out , but had avoided seeing it throughout the years . i wish i 'd waited longer . maybe this movie was funny in 1988 , i do n't know . i was younger then , but it did n't seem like the world was that different . michelle pfeiffer , lovely as she is , is never convincing . mercedes ruehl not only chews scenery , but stuffs it in her cheeks like a gerbil to save for later . dean stockwell is about as convincing as a mob boss as james gandolfini would be as principal dancer for the bolshoi . and matthew modine demonstrated the most pronounced case of delayed puberty i 've ever seen . all in all , it 's not bad enough to make you want to pluck out your eyes with a melon-baller , but it 's not far off .",negative,negative,"You are a strict sentiment annotator.

Read the following movie review and then answer with a single word:
either ""positive"" or ""negative"".

Review:
i seem to remember a lot of hype about this movie when it came out , but had avoided seeing it throughout the years . i wish i 'd waited longer . maybe this movie was funny in 1988 , i do n't know . i was younger then , but it did n't seem like the world was that different . michelle pfeiffer , lovely as she is , is never convincing . mercedes ruehl not only chews scenery , but stuffs it in her cheeks like a gerbil to save for later . dean stockwell is about as convincing as a mob boss as james gandolfini would be as principal dancer for the bolshoi . and matthew modine demonstrated the most pronounced case of delayed puberty i 've ever seen . all in all , it 's not bad enough to make you want to pluck out your eyes with a melon-baller , but it 's not far off .

What is the correct overall sentiment of this review? Answer with only one word: positive or negative.",negative
4506,"i found this film rather brilliant . initially i wanted a `` when animals attack '' flick along the lines of `` frankenfish '' or even `` rogue '' but was delivered a truly horrific ordeal that was not devoid of humanity . having been to the areas this was made ( including the croc farm at the start of the movie , even sharing the same guide ! ) it added to the fear factor . those crocs really are everywhere up there , though i do n't think they had the `` attitude '' of this beastie . yes there were some melodramatic moments but they contributed rather distract from the whole atmosphere . i genuinely cared for the characters and shuddered contemplating `` what would i do ? '' in their boat . not knowing where your enemy lurked or the sound of the croc chowing down at night was genuinely frightening . i would argue that this flick is one of the best horrors i have seen in years ( coming close to the descent ) . i give it four alligator handbags .",positive,positive,"You are a strict sentiment annotator.

Read the following movie review and then answer with a single word:
either ""positive"" or ""negative"".

Review:
i found this film rather brilliant . initially i wanted a `` when animals attack '' flick along the lines of `` frankenfish '' or even `` rogue '' but was delivered a truly horrific ordeal that was not devoid of humanity . having been to the areas this was made ( including the croc farm at the start of the movie , even sharing the same guide ! ) it added to the fear factor . those crocs really are everywhere up there , though i do n't think they had the `` attitude '' of this beastie . yes there were some melodramatic moments but they contributed rather distract from the whole atmosphere . i genuinely cared for the characters and shuddered contemplating `` what would i do ? '' in their boat . not knowing where your enemy lurked or the sound of the croc chowing down at night was genuinely frightening . i would argue that this flick is one of the best horrors i have seen in years ( coming close to the descent ) . i give it four alligator handbags .

What is the correct overall sentiment of this review? Answer with only one word: positive or negative.",positive
4012,"sure , it 's hard being gay , especially in the south . we get it . over ... and over again . what stood out was that the film makers focused almost wholly on the more `` extreme '' characters in these small town gay bars ; the drag queens , the seedy sleaze of a bar long-closed , and on a guy who was brutally murdered for being gay , yet had nothing to do with either of the bars which were the focus of this film . there were snippets of interviews from other people , people viewers would , perhaps , be better able to relate to . but they were glossed over , practically skipped , maybe shown in a glimpse in the background . it would have been more interesting , to me at least , to hear the experiences of the more common gay men and women who were either enriched or otherwise by the experiences of a small town gay bar and/or the absence of that community .",negative,negative,"You are a strict sentiment annotator.

Read the following movie review and then answer with a single word:
either ""positive"" or ""negative"".

Review:
sure , it 's hard being gay , especially in the south . we get it . over ... and over again . what stood out was that the film makers focused almost wholly on the more `` extreme '' characters in these small town gay bars ; the drag queens , the seedy sleaze of a bar long-closed , and on a guy who was brutally murdered for being gay , yet had nothing to do with either of the bars which were the focus of this film . there were snippets of interviews from other people , people viewers would , perhaps , be better able to relate to . but they were glossed over , practically skipped , maybe shown in a glimpse in the background . it would have been more interesting , to me at least , to hear the experiences of the more common gay men and women who were either enriched or otherwise by the experiences of a small town gay bar and/or the absence of that community .

What is the correct overall sentiment of this review? Answer with only one word: positive or negative.",negative
3657,"despite all of the comparisons to house of frankenstein , this movie outshines its predecessor and is one of the funnest monster movies in the universal monsters series , and sadly , the last . o.k . so it does n't exactly stack up to something like the bride of frankenstein as one a classic to revered by fans of all movies , but with a cast of dracula , the wolf man and frankenstein 's monster ( what ? no mummy ? ) you ca n't help but enjoy this schlock fest ! and unlike house of frankenstein , the monsters in this movie interact a lot more . but this movie also offers some unique story lines for both dracula and the wolf man who both go to dr. adleman for cures of their afflictions . while the wolf man actually does find a cure , dracula injects his blood into the doctor and that 's when the real fun begins ! i highly recommend this movie to fans of classic horror movies . but remember , i never said it was good , just fun .",positive,positive,"You are a strict sentiment annotator.

Read the following movie review and then answer with a single word:
either ""positive"" or ""negative"".

Review:
despite all of the comparisons to house of frankenstein , this movie outshines its predecessor and is one of the funnest monster movies in the universal monsters series , and sadly , the last . o.k . so it does n't exactly stack up to something like the bride of frankenstein as one a classic to revered by fans of all movies , but with a cast of dracula , the wolf man and frankenstein 's monster ( what ? no mummy ? ) you ca n't help but enjoy this schlock fest ! and unlike house of frankenstein , the monsters in this movie interact a lot more . but this movie also offers some unique story lines for both dracula and the wolf man who both go to dr. adleman for cures of their afflictions . while the wolf man actually does find a cure , dracula injects his blood into the doctor and that 's when the real fun begins ! i highly recommend this movie to fans of classic horror movies . but remember , i never said it was good , just fun .

What is the correct overall sentiment of this review? Answer with only one word: positive or negative.",positive
2286,"we toss around the term `` superstar '' way too lightly these days , but here 's one guy that truly deserves it . i was glued to the set this entire show . the song selection was perfect -- it only contained the songs i actually wanted to hear and cut in with documentary footage during the weaker new songs . i loved that the band was just a five guys on stage in a very minimalist environment . ( with songs of this strength , you do n't need a circus to be entertained ) . the shots of the crowd were amazing , too . how many performers can affect the original beatles fans ( now in their 50 's and beyond ) , get young kids to jump up at the opening lines of `` ca n't buy me love '' and impact everyone in between ? while watching , i also realized that in the wake of john lennon 's tragic death , paul mccartney instantly became an afterthought . paul not only lost john and george ( no matter what their final relations were , it must be hard to lose someone with whom you changed the world ) , but he also lost his wife linda and never really seemed to garner the acknowledgment lennon 's murder received . i agree that lennon 's murder was horrible , but only now did i realize that paul was sort of forgotten in the aftermath . i was very happy that he 's found love again in heather . as for those complaining about the audio/video quality , i had no complaints whatsoever ; both were crystal clear on my set . i think these same people will complain about the quality of dvd when the next format comes out ; they 'll never be satisfied . my only regret was not buying a ticket to this show when i had the chance . thanks to this video i was able to enjoy it . when people remember john lennon , they will first remember his murder and then his music . i now have a new appreciation for paul mccartney , because , if nothing else , he will be remembered for his music first . and let 's hope another lunatic wo n't change this , because the mccartney catalog is pretty good .",positive,positive,"You are a strict sentiment annotator.

Read the following movie review and then answer with a single word:
either ""positive"" or ""negative"".

Review:
we toss around the term `` superstar '' way too lightly these days , but here 's one guy that truly deserves it . i was glued to the set this entire show . the song selection was perfect -- it only contained the songs i actually wanted to hear and cut in with documentary footage during the weaker new songs . i loved that the band was just a five guys on stage in a very minimalist environment . ( with songs of this strength , you do n't need a circus to be entertained ) . the shots of the crowd were amazing , too . how many performers can affect the original beatles fans ( now in their 50 's and beyond ) , get young kids to jump up at the opening lines of `` ca n't buy me love '' and impact everyone in between ? while watching , i also realized that in the wake of john lennon 's tragic death , paul mccartney instantly became an afterthought . paul not only lost john and george ( no matter what their final relations were , it must be hard to lose someone with whom you changed the world ) , but he also lost his wife linda and never really seemed to garner the acknowledgment lennon 's murder received . i agree that lennon 's murder was horrible , but only now did i realize that paul was sort of forgotten in the aftermath . i was very happy that he 's found love again in heather . as for those complaining about the audio/video quality , i had no complaints whatsoever ; both were crystal clear on my set . i think these same people will complain about the quality of dvd when the next format comes out ; they 'll never be satisfied . my only regret was not buying a ticket to this show when i had the chance . thanks to this video i was able to enjoy it . when people remember john lennon , they will first remember his murder and then his music . i now have a new appreciation for paul mccartney , because , if nothing else , he will be remembered for his music first . and let 's hope another lunatic wo n't change this , because the mccartney catalog is pretty good .

What is the correct overall sentiment of this review? Answer with only one word: positive or negative.",positive
1679,"one is tempted to define the genre of gert de graaff 's movie as 'event of the thought ' following the example of merab mamardashvili . the nominal storyline is a certain bart klever 's torturous quest for that ephemeral substance which constitutes the essence of personality . the script for his new movie is taking shape simultaneously on his computer and in his own imagination . this film-monologue originated as a response to fellini 's ' 8 ½ ' and cost gert de graaff 13 years of work . excitedly playing with real and fictional characters as well as with the audience , it reveals the whimsical interconnection of the real and imaginary , the paradoxical co-existence in two different galaxies : that of guttenberg and that of maclhuen . for some time we are apt to side with the script writer , who believes that the cause of all misfortune is the damned stereotypes of mass mentality ( 'man ' , 'catholic ' , 'window washer ' ) . and together with him we fall into a trap when the author-creator is finally faced with the insoluble dilemma : how can one eliminate from the future movie . bart klever ? just five minutes before the finale thanks to the common petty reproaches of the wife of the creator , who is deeply immersed in work , we realize that together with the main character we have again been 'framed ' . really , what is the price of the art for the sake of which it is acceptable to renounce one 's own name and the day-to-day care for the young daughter ? so who is he , this bart klever ? is he a brilliant prophet or someone possessed like frenhoffer from balzac 's masterpiece ( just like the latter the script writer in the end erases from the computer memory everything has written ) ? gert de graaff suggests that we answer this question ourselves .",positive,positive,"You are a strict sentiment annotator.

Read the following movie review and then answer with a single word:
either ""positive"" or ""negative"".

Review:
one is tempted to define the genre of gert de graaff 's movie as 'event of the thought ' following the example of merab mamardashvili . the nominal storyline is a certain bart klever 's torturous quest for that ephemeral substance which constitutes the essence of personality . the script for his new movie is taking shape simultaneously on his computer and in his own imagination . this film-monologue originated as a response to fellini 's ' 8 ½ ' and cost gert de graaff 13 years of work . excitedly playing with real and fictional characters as well as with the audience , it reveals the whimsical interconnection of the real and imaginary , the paradoxical co-existence in two different galaxies : that of guttenberg and that of maclhuen . for some time we are apt to side with the script writer , who believes that the cause of all misfortune is the damned stereotypes of mass mentality ( 'man ' , 'catholic ' , 'window washer ' ) . and together with him we fall into a trap when the author-creator is finally faced with the insoluble dilemma : how can one eliminate from the future movie . bart klever ? just five minutes before the finale thanks to the common petty reproaches of the wife of the creator , who is deeply immersed in work , we realize that together with the main character we have again been 'framed ' . really , what is the price of the art for the sake of which it is acceptable to renounce one 's own name and the day-to-day care for the young daughter ? so who is he , this bart klever ? is he a brilliant prophet or someone possessed like frenhoffer from balzac 's masterpiece ( just like the latter the script writer in the end erases from the computer memory everything has written ) ? gert de graaff suggests that we answer this question ourselves .

What is the correct overall sentiment of this review? Answer with only one word: positive or negative.",negative
8935,"when a friend and i saw this in the recent releases , we decided to get it despite the fact that neither of us had heard of it before . we both like costas mandylor and it had james coburn so we figured it could n't be that bad . we were wrong . it was . it was really that bad . no actor or actress could have made this film worth seeing . it was like taking titanic , the poseidon adventure and some nuclear bomb film and trying to cut and paste it all together . i must admit that there were a couple of chuckles . i did laugh when the head cabin boy is asking alan ( costas mandylor ) if he 's some `` pussy marine . '' the other laughs this film got though had nothing to do with the writing . i would dearly love to know how the people making this movie thought that you could have a cruise liner knocked upside down and have it remain steady . it is n't tipped or anything . if you are looking for something to watch for costas mandylor , james coburn or any of the rest of this cast , move on . find something good that they did .",negative,negative,"You are a strict sentiment annotator.

Read the following movie review and then answer with a single word:
either ""positive"" or ""negative"".

Review:
when a friend and i saw this in the recent releases , we decided to get it despite the fact that neither of us had heard of it before . we both like costas mandylor and it had james coburn so we figured it could n't be that bad . we were wrong . it was . it was really that bad . no actor or actress could have made this film worth seeing . it was like taking titanic , the poseidon adventure and some nuclear bomb film and trying to cut and paste it all together . i must admit that there were a couple of chuckles . i did laugh when the head cabin boy is asking alan ( costas mandylor ) if he 's some `` pussy marine . '' the other laughs this film got though had nothing to do with the writing . i would dearly love to know how the people making this movie thought that you could have a cruise liner knocked upside down and have it remain steady . it is n't tipped or anything . if you are looking for something to watch for costas mandylor , james coburn or any of the rest of this cast , move on . find something good that they did .

What is the correct overall sentiment of this review? Answer with only one word: positive or negative.",negative
1424,"`` foxes '' is a great film . the four young actresses jodie foster , cherie currie , marilyn kagan and kandice stroh are wonderful . the song `` on the radio '' by donna summer is lovely . a great film . * * * * *",positive,positive,"You are a strict sentiment annotator.

Read the following movie review and then answer with a single word:
either ""positive"" or ""negative"".

Review:
`` foxes '' is a great film . the four young actresses jodie foster , cherie currie , marilyn kagan and kandice stroh are wonderful . the song `` on the radio '' by donna summer is lovely . a great film . * * * * *

What is the correct overall sentiment of this review? Answer with only one word: positive or negative.",positive
9674,"robert montgomery and robert young are outstanding as a duo of young submarine officers stationed in italy during world war i. the dialog is highly entertaining , and jimmy durante is hilarious as the ship 's cook , `` ptomaine '' . walter huston 's character is inspiring as the captain of the submarine , a stellar example of an officer and a gentleman . one of the most interesting aspects of this movie was the level of technology displayed in the battle scenes . i was surprised at how similar the technology of world war i was to the technology displayed 25 years later in world war ii . basic human nature was portrayed as very similar to modern times , and far from the conservativism i thought existed in the so-called `` innocent '' past . all in all i felt that the cast , characters , action scenes , and view of history depicted in this movie were first-rate .",positive,positive,"You are a strict sentiment annotator.

Read the following movie review and then answer with a single word:
either ""positive"" or ""negative"".

Review:
robert montgomery and robert young are outstanding as a duo of young submarine officers stationed in italy during world war i. the dialog is highly entertaining , and jimmy durante is hilarious as the ship 's cook , `` ptomaine '' . walter huston 's character is inspiring as the captain of the submarine , a stellar example of an officer and a gentleman . one of the most interesting aspects of this movie was the level of technology displayed in the battle scenes . i was surprised at how similar the technology of world war i was to the technology displayed 25 years later in world war ii . basic human nature was portrayed as very similar to modern times , and far from the conservativism i thought existed in the so-called `` innocent '' past . all in all i felt that the cast , characters , action scenes , and view of history depicted in this movie were first-rate .

What is the correct overall sentiment of this review? Answer with only one word: positive or negative.",positive
